"filename", "language", "Java", "XML", "CSV", "comment", "blank", "total"
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\ControladorProducto.java", "Java", 31, 0, 0, 0, 12, 43
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\ClienteDao.java", "Java", 12, 0, 0, 1, 4, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\PedidoDao.java", "Java", 16, 0, 0, 3, 5, 24
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\ProductoDao.java", "Java", 14, 0, 0, 0, 4, 18
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\imp\JDBCClienteDao.java", "Java", 136, 0, 0, 4, 16, 156
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\imp\JDBCPedido.java", "Java", 167, 0, 0, 4, 28, 199
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\controlador\dao\imp\JDBCProductoDao.java", "Java", 275, 0, 0, 3, 40, 318
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\module-info.java", "Java", 13, 0, 0, 1, 4, 18
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\resources\ies\thiar\primary.fxml", "XML", 0, 14, 0, 0, 3, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\resources\ies\thiar\secondary.fxml", "XML", 0, 14, 0, 0, 3, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\test\java\ies\thiar\ControladorClienteTest.java", "Java", 158, 0, 0, 26, 34, 218
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\test\java\ies\thiar\ControladorProductoTest.java", "Java", 17, 0, 0, 0, 6, 23
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\App.class", "Java", 29, 0, 0, 0, 0, 29
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ClienteWrape.class", "Java", 10, 0, 0, 0, 0, 10
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ControladorCliente.class", "Java", 28, 0, 0, 0, 0, 28
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ControladorPedido.class", "Java", 23, 0, 0, 0, 0, 23
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ControladorProducto.class", "Java", 23, 0, 0, 0, 0, 23
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ExamenMain$1.class", "Java", 13, 0, 0, 0, 0, 13
